GenotypeID,Class
D00714001,Offspring
D00713852,Offspring
D00712636,Offspring
D00711124,Offspring
D00711291,Offspring
D00711281,Offspring
D00714166,Offspring
D00713372,Offspring
D00713851,Offspring
D00712569,Offspring
D00712054,Offspring
D00712483,Offspring
D00714382,Offspring
D00712527,Offspring
D00713236,Offspring
D00712844,Offspring
D00713570,Offspring
D00713080,Offspring
D00711033,Offspring
D00712676,Offspring
D00712813,Offspring
D00713431,Offspring
D00711888,Offspring
D00712842,Offspring
D00712578,Offspring
D00712632,Offspring
D00712420,Offspring
D00711254,Offspring
D00712367,Offspring
D00712614,Offspring
D00713850,Offspring
D00713232,Offspring
D00712091,Offspring
D00712930,Offspring
D00713487,Offspring
D00713513,Offspring
D00712189,Offspring
D00713270,Offspring
D00712855,Offspring
D00712685,Offspring
D00712603,Offspring
D00711816,Offspring
D00712639,Offspring
D00713353,Offspring
D00711330,Offspring
D00713514,Offspring
D00713132,Offspring
D00713037,Offspring
D00713545,Offspring
D00712775,Offspring
D00712894,Offspring
D00714011,Offspring
D00711091,Offspring
D00712532,Offspring
D00713913,Offspring
D00713833,Offspring
D00711629,Offspring
D00713050,Offspring
D00713208,Offspring
D00713357,Offspring
D00713194,Offspring
D00712244,Offspring
D00712354,Offspring
D00712061,Offspring
D00712682,Offspring
D00711910,Offspring
D00711946,Offspring
D00712055,Offspring
D00713606,Offspring
D00712645,Offspring
D00713771,Offspring
D00712652,Offspring
D00713882,Offspring
D00713386,Offspring
D00713687,Offspring
D00712593,Offspring
D00712999,Offspring
D00713133,Offspring
D00713278,Offspring
D00711338,Offspring
D00711426,Offspring
D00713224,Offspring
D00711575,Offspring
D00712500,Offspring
D00711474,Offspring
D00712720,Offspring
D00713200,Offspring
D00713826,Offspring
D00712290,Offspring
D00713124,Offspring
D00712133,Offspring
D00713624,Offspring
D00711838,Offspring
D00712531,Offspring
D00712843,Offspring
D00712233,Offspring
D00712205,Offspring
D00712525,Offspring
D00712017,Offspring
D00712176,Offspring
D00712606,Offspring
D00712852,Offspring
D00711189,Offspring
D00711988,Offspring
D00712421,Offspring
D00711947,Offspring
D00713182,Offspring
D00713425,Offspring
D00711913,Offspring
D00711093,Offspring
D00713291,Offspring
D00713238,Offspring
D00713655,Offspring
D00711579,Offspring
D00713949,Offspring
D00712560,Offspring
D00712650,Offspring
D00713202,Offspring
D00713415,Offspring
D00711817,Offspring
D00714016,Offspring
D00713418,Offspring
D00712178,Offspring
D00713903,Offspring
D00711272,Offspring
D00712703,Offspring
D00712044,Offspring
D00713574,Offspring
D00713253,Offspring
D00713637,Offspring
D00712923,Offspring
D00713794,Offspring
D00713556,Offspring
D00713461,Offspring
D00713280,Offspring
D00711978,Offspring
D00713335,Offspring
D00713626,Offspring
D00711799,Offspring
D00712365,Offspring
D00713400,Offspring
D00711871,Offspring
D00713537,Offspring
D00711950,Offspring
D00712896,Offspring
D00713185,Offspring
D00711837,Offspring
D00712570,Offspring
D00713886,Offspring
D00713382,Offspring
D00712693,Offspring
D00711416,Offspring
D00713614,Offspring
D00712814,Offspring
D00711400,Offspring
D00713593,Offspring
D00711502,Offspring
D00713048,Offspring
D00713800,Offspring
D00713483,Offspring
D00713681,Offspring
D00712533,Offspring
D00711778,Offspring
D00711955,Offspring
D00712219,Offspring
D00713181,Offspring
D00713229,Offspring
D00716125,Sire
D00714906,Sire
D00713284,Sire
D00714198,Sire
D00714150,Sire
D00713657,Sire
D00716173,Sire
D00714551,Sire
D00714980,Sire
D00715311,Sire
D00716291,Sire
D00714877,Sire
D00715576,Sire
D00714226,Sire
D00716536,Sire
D00715455,Sire
D00714525,Sire
D00714221,Sire
D00715894,Sire
D00714800,Sire
D00715482,Sire
D00715035,Sire
D00714380,Sire
D00715159,Sire
D00714937,Sire
D00716667,Sire
D00715441,Sire
D00714369,Sire
D00714785,Sire
D00714044,Sire
D00714215,Sire
D00714171,Sire
D00715095,Sire
D00713817,Sire
D00714823,Sire
D00714137,Sire
D00714576,Sire
D00715020,Sire
D00714069,Sire
D00714375,Sire
D00716224,Sire
D00714988,Sire
D00713764,Sire
D00714804,Sire
D00715176,Sire
D00716304,Sire
D00714122,Sire
D00715767,Sire
D00715557,Sire
D00714222,Sire
D00714432,Sire
D00714549,Sire
D00714066,Sire
D00714400,Sire
D00713861,Sire
D00714488,Sire
D00714872,Sire
D00714093,Sire
D00714279,Sire
D00714618,Sire
D00714767,Sire
D00714443,Sire
D00714701,Sire
D00714208,Sire
D00716499,Sire
D00716194,Sire
D00714779,Sire
D00715341,Sire
D00714709,Dam
D00714727,Dam
D00714110,Dam
D00714653,Dam
D00715182,Dam
D00714811,Dam
D00715207,Dam
D00714225,Dam
D00714328,Dam
D00714170,Dam
D00714835,Dam
D00714256,Dam
D00715462,Dam
D00714918,Dam
D00715609,Dam
D00715001,Dam
D00715870,Dam
D00714243,Dam
D00714337,Dam
D00715537,Dam
D00713798,Dam
D00714678,Dam
D00714616,Dam
D00716284,Dam
D00715640,Dam
D00714648,Dam
D00716149,Dam
D00715906,Dam
D00714269,Dam
D00715818,Dam
D00715089,Dam
D00715500,Dam
D00714724,Dam
D00714249,Dam
D00715507,Dam
D00714736,Dam
D00715626,Dam
D00716013,Dam
D00715453,Dam
D00715040,Dam
D00716170,Dam
D00714306,Dam
D00715985,Dam
D00714695,Dam
D00714347,Dam
D00715136,Dam
D00715999,Dam
D00714204,Dam
D00714321,Dam
D00713539,Dam
D00714131,Dam
D00715418,Dam
D00714041,Dam
D00714168,Dam
D00715756,Dam
D00714810,Dam
D00714130,Dam
D00714888,Dam
D00714575,Dam
D00715324,Dam
D00714118,Dam
D00714527,Dam
D00713258,Dam
D00714560,Dam
D00714240,Dam
D00716477,Dam
D00715070,Tag
D00715030,Tag
D00714585,Tag
D00714896,Tag
D00714765,Tag
D00714568,Tag
D00714487,Tag
D00714944,Tag
D00714401,Tag
D00715010,Tag
D00715021,Tag
D00714146,Tag
D00715188,Tag
D00714206,Tag
D00715881,Tag
D00715508,Tag
D00716074,Tag
D00715992,Tag
D00714031,Tag
D00714367,Tag
D00716417,Tag
D00714528,Tag
D00715031,Tag
D00715279,Tag
D00714233,Tag
D00714719,Tag
D00716005,Tag
D00714388,Tag
D00714777,Tag
D00713691,Tag
D00714078,Tag
D00715397,Tag
D00716133,Tag
D00714844,Tag
D00714978,Tag
D00716087,Tag
D00714949,Tag
D00715140,Tag
D00716009,Tag
D00714325,Tag
D00716132,Tag
D00715627,Tag
D00716027,Tag
D00715378,Tag
D00716247,Tag
D00715719,Tag
D00715707,Tag
D00714238,Tag
D00713466,Tag
D00715539,Tag
D00715190,Tag
D00714339,Tag
D00714910,Tag
D00714070,Tag
D00714778,Tag
D00713337,Tag
D00714372,Tag
D00714630,Tag
D00714292,Tag
D00714916,Tag
D00714390,Tag
D00713918,Tag
D00714791,Tag
D00714676,Tag
D00714418,Tag
D00714681,Tag
D00715251,Tag
D00715220,Tag
D00716239,Tag
D00716504,Tag
D00714288,Tag
D00714234,Tag
D00714416,Tag
D00714358,Tag
D00715013,Tag
D00715171,Tag
D00714486,Tag
D00715890,Tag
D00714315,Tag
