GenotypeID,Class
D00713131,Offspring
D00711571,Offspring
D00713534,Offspring
D00713738,Offspring
D00713184,Offspring
D00713472,Offspring
D00712383,Offspring
D00711478,Offspring
D00713773,Offspring
D00713985,Offspring
D00712407,Offspring
D00711825,Offspring
D00711848,Offspring
D00713974,Offspring
D00711903,Offspring
D00714010,Offspring
D00712162,Offspring
D00711746,Offspring
D00713857,Offspring
D00713721,Offspring
D00713327,Offspring
D00713035,Offspring
D00712462,Offspring
D00711309,Offspring
D00712559,Offspring
D00711942,Offspring
D00713568,Offspring
D00711394,Offspring
D00712400,Offspring
D00711943,Offspring
D00713566,Offspring
D00711509,Offspring
D00712247,Offspring
D00711773,Offspring
D00711795,Offspring
D00713032,Offspring
D00712335,Offspring
D00713299,Offspring
D00713014,Offspring
D00711633,Offspring
D00711704,Offspring
D00713383,Offspring
D00712395,Offspring
D00713525,Offspring
D00711135,Offspring
D00712965,Offspring
D00711770,Offspring
D00711387,Offspring
D00711916,Offspring
D00713782,Offspring
D00711666,Offspring
D00711027,Offspring
D00712109,Offspring
D00713216,Offspring
D00713714,Offspring
D00712739,Offspring
D00713689,Offspring
D00711253,Offspring
D00713520,Offspring
D00713853,Offspring
D00712858,Offspring
D00711194,Offspring
D00711591,Offspring
D00711769,Offspring
D00713770,Offspring
D00713490,Offspring
D00713176,Offspring
D00711585,Offspring
D00712015,Offspring
D00712887,Offspring
D00711815,Offspring
D00711708,Offspring
D00713210,Offspring
D00711115,Offspring
D00713999,Offspring
D00711112,Offspring
D00712722,Offspring
D00711181,Offspring
D00713543,Offspring
D00712786,Offspring
D00712860,Offspring
D00711427,Offspring
D00712678,Offspring
D00712216,Offspring
D00713788,Offspring
D00713730,Offspring
D00713281,Offspring
D00713251,Offspring
D00711806,Offspring
D00713130,Offspring
D00711644,Offspring
D00712063,Offspring
D00712425,Offspring
D00711496,Offspring
D00712892,Offspring
D00711912,Offspring
D00713616,Offspring
D00712587,Offspring
D00711341,Offspring
D00713713,Offspring
D00712504,Offspring
D00713585,Offspring
D00713573,Offspring
D00711864,Offspring
D00713731,Offspring
D00711930,Offspring
D00713522,Offspring
D00712494,Offspring
D00713755,Offspring
D00711981,Offspring
D00712239,Offspring
D00712144,Offspring
D00711940,Offspring
D00711490,Offspring
D00713666,Offspring
D00711576,Offspring
D00711130,Offspring
D00713190,Offspring
D00711649,Offspring
D00713128,Offspring
D00712734,Offspring
D00713860,Offspring
D00711972,Offspring
D00713674,Offspring
D00713824,Offspring
D00713361,Offspring
D00712597,Offspring
D00712121,Offspring
D00712765,Offspring
D00713671,Offspring
D00713257,Offspring
D00711142,Offspring
D00712546,Offspring
D00713726,Offspring
D00711861,Offspring
D00712186,Offspring
D00711775,Offspring
D00711055,Offspring
D00711051,Offspring
D00711020,Offspring
D00713444,Offspring
D00713736,Offspring
D00711340,Offspring
D00711014,Offspring
D00713571,Offspring
D00713668,Offspring
D00712094,Offspring
D00711077,Offspring
D00713346,Offspring
D00711702,Offspring
D00711876,Offspring
D00713476,Offspring
D00713959,Offspring
D00712669,Offspring
D00711046,Offspring
D00713445,Offspring
D00714009,Offspring
D00712240,Offspring
D00272038,Offspring
D00713318,Offspring
D00711793,Offspring
D00712440,Offspring
D00712389,Offspring
D00711715,Offspring
D00711686,Offspring
D00713368,Offspring
D00712276,Offspring
D00712659,Offspring
D00712929,Offspring
D00713496,Offspring
D00711568,Offspring
D00711040,Offspring
D00711953,Offspring
D00713481,Offspring
D00712009,Offspring
D00713908,Offspring
D00713140,Offspring
D00713338,Offspring
D00712484,Offspring
D00713581,Offspring
D00711210,Offspring
D00712591,Offspring
D00712741,Offspring
D00712998,Offspring
D00713988,Offspring
D00713968,Offspring
D00712310,Offspring
D00711113,Offspring
D00711636,Offspring
D00711275,Offspring
D00713854,Offspring
D00712589,Offspring
D00713511,Offspring
D00712472,Offspring
D00713625,Offspring
D00713454,Offspring
D00711890,Offspring
D00711938,Offspring
D00713027,Offspring
D00713067,Offspring
D00711150,Offspring
D00711220,Offspring
D00711787,Offspring
